,Date_1D,ticker,total_pts,chg
749,2021-09-07,OPGN,8.0,3.0
749,2021-09-07,MGY,8.0,0.0
749,2021-09-07,GOOG,8.0,0.0
749,2021-09-07,GOOGL,8.0,0.0
749,2021-09-07,MTL,8.0,0.0
173,2021-09-07,FCUV,8.0,0.0
749,2021-09-07,MSFT,8.0,0.0
749,2021-09-07,ANY,8.0,0.0
749,2021-09-07,BBIG,8.0,0.0
717,2021-09-07,GAZ,8.0,0.0
749,2021-09-07,APOP,8.0,0.0
749,2021-09-07,FB,8.0,0.0
749,2021-09-07,SPRT,8.0,0.0
749,2021-09-07,AAPL,8.0,0.0
749,2021-09-07,DVN,8.0,0.0
749,2021-09-07,TSLA,8.0,0.0
741,2021-09-07,HUT,8.0,0.0
749,2021-09-07,AEHR,8.0,0.0
743,2021-09-07,LAZY,8.0,0.0
749,2021-09-07,HEFA,8.0,0.0
749,2021-09-07,COOP,8.0,0.0
749,2021-09-07,BGFV,8.0,0.0
749,2021-09-07,SENS,8.0,0.0
749,2021-09-07,AUPH,8.0,0.0
749,2021-09-07,NFLX,8.0,0.0
749,2021-09-07,AUDC,8.0,0.0
749,2021-09-07,CRM,8.0,0.0
749,2021-09-07,NVDA,8.0,0.0
748,2021-09-07,ATLC,8.0,0.0
749,2021-09-07,JEQ,8.0,0.0
749,2021-09-07,TMFC,8.0,0.0
731,2021-09-07,ACY,8.0,0.0
749,2021-09-07,DSKE,8.0,0.0
749,2021-09-07,ADBE,8.0,0.0
749,2021-09-07,EDIT,8.0,0.0
730,2021-09-07,EKAR,8.0,0.0
749,2021-09-07,PMTS,8.0,0.0
749,2021-09-07,ASML,8.0,0.0
745,2021-09-07,GRIN,8.0,0.0
749,2021-09-07,CXP,7.0,3.0
749,2021-09-07,SIGA,7.0,1.0
749,2021-09-07,AMZN,7.0,0.0
749,2021-09-07,RDHL,7.0,0.0
589,2021-09-07,ATIF,7.0,0.0
748,2021-09-07,DLPN,7.0,0.0
739,2021-09-07,AAMC,7.0,0.0
422,2021-09-07,ELYS,7.0,0.0
667,2021-09-07,TTCF,7.0,-1.0
748,2021-09-07,MYFW,7.0,-1.0
749,2021-09-07,MTCH,6.0,3.0
749,2021-09-07,OVV,6.0,1.0
749,2021-09-07,EXPI,6.0,0.0
749,2021-09-07,BKR,6.0,0.0
749,2021-09-07,MOSY,6.0,0.0
749,2021-09-07,KL,6.0,0.0
749,2021-09-07,LITE,6.0,0.0
749,2021-09-07,FRHC,6.0,0.0
472,2021-09-07,IPHA,6.0,-1.0
709,2021-09-07,MKTY,6.0,-1.0
749,2021-09-07,SHOP,6.0,-2.0
749,2021-09-07,ADAP,5.0,1.0
711,2021-09-07,UONE,5.0,1.0
746,2021-09-07,AHPI,5.0,0.0
749,2021-09-07,NURO,5.0,0.0
140,2021-09-07,VRPX,5.0,0.0
716,2021-09-07,NAOV,5.0,0.0
675,2021-09-07,WORX,5.0,0.0
214,2021-09-07,VPN,5.0,0.0
749,2021-09-07,LEDS,5.0,0.0
749,2021-09-07,AOSL,5.0,0.0
710,2021-09-07,SGOC,5.0,0.0
735,2021-09-07,CARV,5.0,-1.0
715,2021-09-07,DTST,5.0,-1.0
749,2021-09-07,RVP,5.0,-1.0
685,2021-09-07,CNF,5.0,-1.0
749,2021-09-07,BPMC,5.0,-1.0
749,2021-09-07,BRK-A,5.0,-2.0
749,2021-09-07,BRK-B,5.0,-2.0
184,2021-09-07,OPAD,4.0,4.0
749,2021-09-07,IFRX,4.0,3.0
749,2021-09-07,WVE,4.0,2.0
749,2021-09-07,CODX,4.0,1.0
749,2021-09-07,QDEL,4.0,1.0
749,2021-09-07,NEON,4.0,1.0
749,2021-09-07,CN,4.0,1.0
165,2021-09-07,DPRO,4.0,1.0
749,2021-09-07,MRIN,4.0,0.0
749,2021-09-07,CEI,4.0,0.0
94,2021-09-07,IMPL,4.0,0.0
749,2021-09-07,RHE,4.0,0.0
196,2021-09-07,VIH,4.0,0.0
748,2021-09-07,ENVB,4.0,0.0
238,2021-09-07,GOVX,4.0,0.0
324,2021-09-07,OSAT,4.0,0.0
196,2021-09-07,RKLB,4.0,0.0
742,2021-09-07,MOXC,4.0,0.0
749,2021-09-07,CASI,4.0,0.0
749,2021-09-07,EARN,4.0,0.0
749,2021-09-07,SRPT,4.0,0.0
749,2021-09-07,GE,4.0,0.0
749,2021-09-07,BTCM,4.0,0.0
749,2021-09-07,NCTY,4.0,0.0
749,2021-09-07,FRD,4.0,0.0
421,2021-09-07,MDIA,4.0,-1.0
749,2021-09-07,BOMN,4.0,-1.0
703,2021-09-07,ORGO,4.0,-2.0
687,2021-09-07,GSMG,3.0,2.0
749,2021-09-07,TGI,3.0,1.0
493,2021-09-07,XGN,3.0,1.0
749,2021-09-07,FINV,3.0,1.0
749,2021-09-07,HYRE,3.0,0.0
656,2021-09-07,BTBT,3.0,0.0
749,2021-09-07,MOMO,3.0,0.0
748,2021-09-07,LIVE,3.0,0.0
749,2021-09-07,RCON,3.0,0.0
79,2021-09-07,VERA,3.0,0.0
741,2021-09-07,AEMD,3.0,0.0
625,2021-09-07,WHLM,3.0,0.0
749,2021-09-07,ITCI,3.0,0.0
749,2021-09-07,BLIN,3.0,-1.0
749,2021-09-07,RIOT,3.0,-1.0
749,2021-09-07,VHC,3.0,-1.0
749,2021-09-07,MMAT,3.0,-2.0
318,2021-09-07,PLRX,2.0,2.0
744,2021-09-07,NMTC,2.0,2.0
749,2021-09-07,PRTH,2.0,1.0
518,2021-09-07,ABVC,2.0,1.0
164,2021-09-07,LEXX,2.0,0.0
36,2021-09-07,RGC,2.0,0.0
748,2021-09-07,COE,2.0,0.0
749,2021-09-07,DQ,2.0,0.0
749,2021-09-07,UCTT,2.0,0.0
749,2021-09-07,GLG,2.0,0.0
749,2021-09-07,FLGT,2.0,-1.0
628,2021-09-07,FUTU,2.0,-1.0
562,2021-09-07,ATER,1.0,1.0
749,2021-09-07,XELA,1.0,1.0
189,2021-09-07,ONDS,1.0,1.0
749,2021-09-07,ZIOP,1.0,1.0
645,2021-09-07,TOMZ,1.0,1.0
749,2021-09-07,YCBD,1.0,0.0
87,2021-09-07,ALF,1.0,0.0
368,2021-09-07,OLB,1.0,0.0
676,2021-09-07,RCAT,1.0,0.0
749,2021-09-07,OPTN,1.0,0.0
248,2021-09-07,CRTD,1.0,0.0
734,2021-09-07,COHN,1.0,0.0
749,2021-09-07,SAVA,1.0,0.0
236,2021-09-07,ORPH,1.0,0.0
749,2021-09-07,WPG,1.0,0.0
749,2021-09-07,BZUN,1.0,0.0
749,2021-09-07,AEYE,1.0,0.0
685,2021-09-07,GROM,1.0,0.0
749,2021-09-07,KALA,1.0,0.0
749,2021-09-07,AYTU,1.0,0.0
749,2021-09-07,XBIO,1.0,-1.0
749,2021-09-07,NBIX,1.0,-1.0
749,2021-09-07,YVR,1.0,-1.0
622,2021-09-07,MEDS,1.0,-1.0
739,2021-09-07,TKAT,1.0,-4.0
749,2021-09-07,PMCB,0.0,0.0
241,2021-09-07,EVLV,0.0,0.0
749,2021-09-07,SQBG,0.0,0.0
659,2021-09-07,HEXO,0.0,0.0
7,2021-09-07,RNXT,0.0,0.0
747,2021-09-07,SNOA,0.0,0.0
749,2021-09-07,ACAD,0.0,0.0
749,2021-09-07,SESN,0.0,0.0
748,2021-09-07,SMED,0.0,0.0
680,2021-09-07,CUEN,0.0,0.0
749,2021-09-07,WTRH,0.0,0.0
735,2021-09-07,RMED,0.0,0.0
151,2021-09-07,KLAQU,0.0,0.0
749,2021-09-07,APT,0.0,0.0
749,2021-09-07,PIXY,0.0,0.0
749,2021-09-07,FBRX,0.0,0.0
748,2021-09-07,MDVL,0.0,0.0
749,2021-09-07,AEHL,0.0,0.0
749,2021-09-07,KPTI,0.0,0.0
749,2021-09-07,BIOC,0.0,0.0
594,2021-09-07,ENSC,0.0,0.0
588,2021-09-07,METX,0.0,0.0
631,2021-09-07,PETV,0.0,0.0
412,2021-09-07,KPLT,0.0,0.0
79,2021-09-07,DBGI,0.0,0.0
749,2021-09-07,NUWE,0.0,0.0
749,2021-09-07,GRWG,0.0,0.0
749,2021-09-07,QLGN,0.0,0.0
9,2021-09-07,AUID,0.0,0.0
749,2021-09-07,SONN,0.0,0.0
749,2021-09-07,JAGX,0.0,0.0
749,2021-09-07,NXTD,0.0,0.0
749,2021-09-07,BSQR,0.0,0.0
326,2021-09-07,SLQT,0.0,0.0
749,2021-09-07,OTRK,0.0,0.0
749,2021-09-07,WKHS,0.0,0.0
749,2021-09-07,FUV,0.0,0.0
749,2021-09-07,DRNA,0.0,-1.0
749,2021-09-07,FWP,0.0,-1.0
0,2021-09-07,XOSWW,0.0,
