Date,crit1,crit2,crit3,crit4,crit5,crit6,crit7
2018-08-16,0,0,0,0,0,0,0
2018-08-21,0,0,0,0,0,0,0
2018-08-24,0,0,0,0,0,0,0
2018-08-29,0,0,0,0,0,0,0
2018-09-03,0,0,0,0,0,0,0
2018-09-06,0,0,0,0,0,0,0
2018-09-11,0,0,0,0,0,0,0
2018-09-14,0,0,0,0,0,0,0
2018-09-19,0,0,0,0,0,0,0
2018-09-24,0,0,0,0,0,0,0
2018-09-27,0,0,0,0,0,0,0
2018-10-02,0,0,0,0,0,0,0
2018-10-05,0,0,0,0,0,0,0
2018-10-10,0,0,0,0,0,0,0
2018-10-15,0,0,0,0,0,0,0
2018-10-18,0,0,0,0,0,0,0
2018-10-23,0,0,0,0,0,0,0
2018-10-26,0,0,0,0,0,0,0
2018-10-31,0,0,0,0,0,0,0
2018-11-05,0,0,0,0,0,0,0
2018-11-08,0,0,0,0,0,0,0
2018-11-13,0,0,0,0,0,0,0
2018-11-16,0,0,0,0,0,0,0
2018-11-21,0,0,0,0,0,0,0
2018-11-26,0,0,0,0,0,0,0
2018-11-29,0,0,0,0,0,0,0
2018-12-04,0,0,0,0,0,0,0
2018-12-07,0,0,0,0,0,0,0
2018-12-12,0,0,0,0,0,0,0
2018-12-17,0,0,0,0,0,0,0
2018-12-20,0,0,0,0,0,0,0
2018-12-25,0,0,0,0,0,0,0
2018-12-28,0,0,0,0,0,0,0
2019-01-02,0,0,0,0,0,0,0
2019-01-07,0,0,0,0,0,0,0
2019-01-10,0,0,0,0,0,0,0
2019-01-15,0,0,0,0,0,0,0
2019-01-18,0,0,0,0,0,0,0
2019-01-23,0,0,0,0,0,0,0
2019-01-28,0,0,0,0,0,0,0
2019-01-31,0,1,0,0,0,0,0
2019-02-05,0,1,0,0,0,0,0
2019-02-08,0,1,0,0,0,0,0
2019-02-13,0,1,0,0,0,0,0
2019-02-18,0,1,0,0,0,0,0
2019-02-21,0,0,0,0,0,0,0
2019-02-26,0,1,0,0,0,0,0
2019-03-01,0,0,0,0,0,0,0
2019-03-06,0,1,0,0,0,0,0
2019-03-11,1,1,0,0,0,0,0
2019-03-14,1,1,0,0,0,1,0
2019-03-19,1,1,0,0,0,1,0
2019-03-22,1,1,0,0,0,1,0
2019-03-27,1,1,0,0,0,1,0
2019-04-01,1,1,0,0,0,1,0
2019-04-04,1,0,1,0,0,1,0
2019-04-09,1,1,1,0,0,1,0
2019-04-12,1,1,1,0,0,1,0
2019-04-17,1,1,1,0,0,1,0
2019-04-22,1,1,1,0,0,1,0
2019-04-25,1,1,1,0,1,1,0
2019-04-30,1,1,1,0,1,1,0
2019-05-03,1,1,1,0,1,1,0
2019-05-08,1,1,1,0,1,1,0
2019-05-13,1,1,1,0,1,1,0
2019-05-16,1,0,1,0,1,1,0
2019-05-21,1,1,1,0,1,1,0
2019-05-24,1,1,1,0,1,1,0
2019-05-29,1,0,1,0,1,1,0
2019-06-03,1,0,1,0,1,1,0
2019-06-06,1,0,1,0,1,1,0
2019-06-11,0,0,1,0,1,1,0
2019-06-14,0,0,1,0,1,1,0
2019-06-19,0,0,1,0,1,1,0
2019-06-24,0,1,1,0,1,1,0
2019-06-27,0,1,1,0,1,1,0
2019-07-02,0,1,1,1,1,1,0
2019-07-05,0,0,1,1,1,1,0
2019-07-10,0,1,1,1,1,1,0
2019-07-15,1,1,1,1,1,1,0
2019-07-18,1,1,1,1,1,1,0
2019-07-23,1,1,1,1,1,1,0
2019-07-26,1,1,1,1,1,1,0
2019-07-31,1,1,1,1,1,1,0
2019-08-05,1,1,1,1,1,1,1
2019-08-08,1,0,1,1,1,0,0
2019-08-13,1,0,1,1,1,0,1
2019-08-16,1,0,1,1,1,0,1
2019-08-21,1,0,1,1,1,1,1
2019-08-26,1,0,1,1,1,0,1
2019-08-29,1,0,1,1,1,1,0
2019-09-03,1,0,1,1,1,1,1
2019-09-06,1,0,1,1,1,1,1
2019-09-11,1,0,1,1,1,1,1
2019-09-16,1,1,1,1,1,1,1
2019-09-19,1,1,1,1,1,1,1
2019-09-24,1,1,1,1,1,1,1
2019-09-27,1,1,1,1,1,1,1
2019-10-02,1,1,1,1,1,1,1
2019-10-07,1,1,1,1,1,1,0
2019-10-10,1,1,1,1,1,1,1
2019-10-15,1,1,1,1,1,1,1
2019-10-18,1,1,1,1,1,1,0
2019-10-23,1,1,1,1,1,1,1
2019-10-28,1,1,1,1,1,1,1
2019-10-31,1,1,1,1,1,1,1
2019-11-05,1,1,1,1,1,1,1
2019-11-08,1,1,1,1,1,1,1
2019-11-13,1,1,1,1,1,1,1
2019-11-18,1,1,1,1,1,1,1
2019-11-21,1,1,1,1,1,1,1
2019-11-26,1,1,1,1,1,1,0
2019-11-29,1,1,1,1,1,1,0
2019-12-04,1,1,1,1,1,1,1
2019-12-09,1,1,1,1,1,1,1
2019-12-12,1,1,1,1,1,1,1
2019-12-17,1,1,1,1,1,1,1
2019-12-20,1,1,1,1,1,1,1
2019-12-25,1,1,1,1,1,1,1
2019-12-30,1,1,1,1,1,1,1
2020-01-02,1,0,1,1,1,1,0
2020-01-07,1,1,1,1,1,1,1
2020-01-10,1,1,1,1,1,1,1
2020-01-15,1,1,1,1,1,1,1
2020-01-20,1,1,1,1,1,1,1
2020-01-23,1,1,1,1,1,1,1
2020-01-28,1,1,1,1,1,1,1
2020-01-31,1,1,1,1,1,1,1
2020-02-05,1,1,1,1,1,1,0
2020-02-10,1,1,1,1,1,1,0
2020-02-13,1,1,1,1,1,1,1
2020-02-18,1,1,1,1,1,1,0
2020-02-21,1,1,1,1,1,1,0
2020-02-26,1,0,1,1,1,1,0
2020-03-02,1,0,1,1,1,1,0
2020-03-05,1,0,1,1,1,1,0
2020-03-10,1,0,1,1,1,1,0
2020-03-13,0,0,1,1,1,0,1
2020-03-18,0,0,1,1,1,0,1
2020-03-23,0,0,0,1,1,0,1
2020-03-26,0,0,0,1,1,0,0
2020-03-31,0,0,1,1,1,0,1
2020-04-03,0,0,0,1,0,0,1
2020-04-08,0,0,1,1,0,0,0
2020-04-13,0,0,1,1,0,0,1
2020-04-16,0,0,1,1,0,0,1
2020-04-21,0,0,1,1,0,0,0
2020-04-24,0,0,1,1,0,0,0
2020-04-29,0,0,1,1,0,0,0
2020-05-04,0,1,1,1,0,0,0
2020-05-07,1,1,1,1,1,0,0
2020-05-12,1,1,1,1,1,0,0
2020-05-15,1,1,1,1,1,0,0
2020-05-20,1,1,1,1,1,0,0
2020-05-25,1,1,1,1,1,0,0
2020-05-28,1,1,1,1,1,0,0
2020-06-02,1,1,1,1,1,0,0
2020-06-05,1,1,1,1,1,0,0
2020-06-10,1,1,1,1,1,1,1
2020-06-15,1,1,1,1,1,1,1
2020-06-18,1,1,1,1,1,1,1
2020-06-23,1,1,1,1,1,1,1
2020-06-26,1,1,1,1,1,1,1
2020-07-01,1,0,1,1,1,1,0
2020-07-06,1,1,1,1,1,1,0
2020-07-09,1,1,1,1,1,1,1
2020-07-14,1,1,1,1,1,1,1
2020-07-17,1,1,1,1,1,1,0
2020-07-22,1,1,1,1,1,1,0
2020-07-27,1,1,1,1,1,1,0
2020-07-30,1,1,1,1,1,1,0
2020-08-04,1,1,1,1,1,1,1
2020-08-07,1,1,1,1,1,1,1
2020-08-12,1,1,1,1,1,1,0
2020-08-17,1,1,1,1,1,1,1
2020-08-20,1,1,1,1,1,1,1
2020-08-25,1,1,1,1,1,1,1
2020-08-28,1,0,1,1,1,1,0
2020-09-02,1,1,1,1,1,1,1
2020-09-07,1,1,1,1,1,1,1
2020-09-10,1,1,1,1,1,1,0
2020-09-15,1,1,1,1,1,1,0
2020-09-18,1,1,1,1,1,1,0
2020-09-23,1,0,1,1,1,1,0
2020-09-28,1,1,1,1,1,1,0
2020-10-01,1,0,1,1,1,1,0
2020-10-06,1,1,1,1,1,1,0
2020-10-09,1,1,1,1,1,1,0
2020-10-14,1,0,1,1,1,1,0
2020-10-19,1,1,1,1,1,1,0
2020-10-22,1,0,1,1,1,1,0
2020-10-27,1,0,1,1,1,1,0
2020-10-30,1,1,1,1,1,1,1
2020-11-04,1,1,1,1,1,1,0
2020-11-09,1,0,1,1,1,1,1
2020-11-12,1,1,1,1,1,1,1
2020-11-17,1,1,1,1,1,1,1
2020-11-20,0,1,1,1,1,1,0
2020-11-25,0,0,1,1,1,1,0
2020-11-30,0,0,1,1,1,1,1
2020-12-03,0,1,1,1,1,1,1
2020-12-08,0,1,1,1,1,0,1
2020-12-11,0,1,1,1,1,0,1
2020-12-16,0,1,1,1,1,0,0
2020-12-21,1,1,1,1,1,0,0
2020-12-24,1,1,1,1,1,1,1
2020-12-29,1,1,1,1,1,1,0
2021-01-01,1,1,1,1,1,1,1
2021-01-06,1,1,1,1,1,1,1
2021-01-11,1,1,1,1,1,1,1
2021-01-14,1,1,1,1,1,1,1
2021-01-19,1,1,1,1,1,1,0
2021-01-22,1,1,1,1,1,1,1
2021-01-27,1,1,1,1,1,1,1
2021-02-01,1,1,1,1,1,1,0
2021-02-04,1,0,1,1,1,1,1
2021-02-09,1,0,1,1,1,1,0
2021-02-12,1,0,1,1,1,1,0
2021-02-17,1,1,1,1,1,1,0
2021-02-22,1,1,1,1,1,1,0
2021-02-25,1,0,1,1,1,1,0
2021-03-02,1,0,1,1,1,1,1
2021-03-05,1,0,1,1,1,0,1
2021-03-10,0,0,1,1,1,1,1
2021-03-15,0,1,1,1,1,1,0
2021-03-18,0,1,1,1,1,1,0
2021-03-23,0,0,1,1,1,0,0
2021-03-26,0,0,1,1,1,0,0
2021-03-31,0,0,0,1,1,0,0
2021-04-05,0,0,1,1,1,0,0
2021-04-08,0,0,1,1,1,0,0
2021-04-13,0,1,1,1,1,0,0
2021-04-16,0,1,1,1,1,0,0
2021-04-21,0,1,1,1,1,0,0
2021-04-26,0,0,1,1,1,1,0
2021-04-29,0,0,1,1,1,1,1
2021-05-04,0,1,1,1,1,1,1
2021-05-07,0,0,1,1,0,0,0
2021-05-12,0,0,0,1,0,0,0
2021-05-17,0,0,0,1,0,0,0
2021-05-20,1,0,0,1,0,0,0
2021-05-25,1,0,0,1,0,0,0
2021-05-28,1,0,0,1,0,0,0
2021-06-02,1,0,0,1,0,0,0
2021-06-07,1,0,0,1,0,0,0
2021-06-10,1,0,0,1,0,0,0
2021-06-15,1,0,1,1,0,1,0
2021-06-18,1,0,1,1,0,1,0
2021-06-23,1,0,1,1,0,1,0
2021-06-28,1,0,1,1,0,1,0
2021-07-01,1,0,1,1,0,1,0
2021-07-06,1,0,1,1,0,1,0
2021-07-09,1,0,1,1,0,1,0
2021-07-14,1,0,1,1,0,1,0
2021-07-19,1,0,1,1,0,1,0
2021-07-22,1,0,1,1,0,1,0
2021-07-27,1,0,1,1,0,1,0
2021-07-30,1,0,1,1,0,1,0
2021-08-04,1,0,1,1,0,1,0
2021-08-09,1,0,1,1,0,1,0
2021-08-12,1,0,1,1,0,1,0
2021-08-17,1,0,1,1,0,1,0
